pclass,age,sex,survived
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,male,no
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,yes
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,adult,female,no
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,male,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
2,child,female,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,yes
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,male,no
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,yes
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,adult,female,no
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,yes
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,male,no
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,yes
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
3,child,female,no
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
4,adult,male,yes
